Minutes5DK,Minutes5UTC,CO2Emission,PriceArea
2019-12-15T12:50:00,2019-12-15T11:50:00+00:00,70,DK1
2019-12-15T12:55:00,2019-12-15T11:55:00+00:00,66,DK1
2019-12-15T13:00:00,2019-12-15T12:00:00+00:00,62,DK1
2019-12-15T13:05:00,2019-12-15T12:05:00+00:00,62,DK1
2019-12-15T13:10:00,2019-12-15T12:10:00+00:00,62,DK1
2019-12-15T13:15:00,2019-12-15T12:15:00+00:00,62,DK1
2019-12-15T13:20:00,2019-12-15T12:20:00+00:00,62,DK1
2019-12-15T13:25:00,2019-12-15T12:25:00+00:00,62,DK1
2019-12-15T13:30:00,2019-12-15T12:30:00+00:00,62,DK1
2019-12-15T13:35:00,2019-12-15T12:35:00+00:00,62,DK1
2019-12-15T13:40:00,2019-12-15T12:40:00+00:00,62,DK1
2019-12-15T13:45:00,2019-12-15T12:45:00+00:00,62,DK1
2019-12-15T13:50:00,2019-12-15T12:50:00+00:00,62,DK1
2019-12-15T13:55:00,2019-12-15T12:55:00+00:00,62,DK1
2019-12-15T14:00:00,2019-12-15T13:00:00+00:00,62,DK1
2019-12-15T14:05:00,2019-12-15T13:05:00+00:00,61,DK1
2019-12-15T14:10:00,2019-12-15T13:10:00+00:00,62,DK1
2019-12-15T14:15:00,2019-12-15T13:15:00+00:00,62,DK1
2019-12-15T14:20:00,2019-12-15T13:20:00+00:00,62,DK1
2019-12-15T14:25:00,2019-12-15T13:25:00+00:00,62,DK1
2019-12-15T14:30:00,2019-12-15T13:30:00+00:00,63,DK1
2019-12-15T14:35:00,2019-12-15T13:35:00+00:00,63,DK1
2019-12-15T14:40:00,2019-12-15T13:40:00+00:00,64,DK1
2019-12-15T14:45:00,2019-12-15T13:45:00+00:00,63,DK1
2019-12-15T14:50:00,2019-12-15T13:50:00+00:00,63,DK1
2019-12-15T14:55:00,2019-12-15T13:55:00+00:00,63,DK1
2019-12-15T15:00:00,2019-12-15T14:00:00+00:00,64,DK1
2019-12-15T15:05:00,2019-12-15T14:05:00+00:00,65,DK1
2019-12-15T15:10:00,2019-12-15T14:10:00+00:00,65,DK1
2019-12-15T15:15:00,2019-12-15T14:15:00+00:00,66,DK1
2019-12-15T15:20:00,2019-12-15T14:20:00+00:00,66,DK1
2019-12-15T15:25:00,2019-12-15T14:25:00+00:00,67,DK1
2019-12-15T15:30:00,2019-12-15T14:30:00+00:00,68,DK1
2019-12-15T15:35:00,2019-12-15T14:35:00+00:00,69,DK1
2019-12-15T15:40:00,2019-12-15T14:40:00+00:00,71,DK1
2019-12-15T15:45:00,2019-12-15T14:45:00+00:00,72,DK1
2019-12-15T15:50:00,2019-12-15T14:50:00+00:00,72,DK1
2019-12-15T15:55:00,2019-12-15T14:55:00+00:00,73,DK1
2019-12-15T16:00:00,2019-12-15T15:00:00+00:00,73,DK1
2019-12-15T16:05:00,2019-12-15T15:05:00+00:00,72,DK1
2019-12-15T16:10:00,2019-12-15T15:10:00+00:00,71,DK1
2019-12-15T16:15:00,2019-12-15T15:15:00+00:00,71,DK1
